,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Explanation,Reference
WDR93,0,4.073627065,0.301,0.015,0,,,
ZFAND6,0,0.653982638,0.571,0.285,0,,,
AGBL4,0,1.565912435,0.379,0.094,0,,,
HSPG2,0,0.517186264,0.519,0.234,0,,,
JPX,0,0.493074422,0.796,0.511,0,,,
FHL1,0,1.166880319,0.473,0.188,0,,,
BNC1,0,-3.975173721,0.052,0.336,0,,,
DDX58,0,1.190528291,0.427,0.144,0,,,
SCRN2,0,2.249751003,0.331,0.048,0,,,
SKI,0,0.834606974,0.467,0.184,0,,,
ADK,0,0.478694001,0.625,0.342,0,,,
PAWR,0,-3.705413219,0.066,0.349,0,,,
C2orf88,0,1.36045362,0.401,0.119,0,,,
ETFDH,0,0.834599868,0.456,0.174,0,,,
IFRD1,0,1.29339367,0.396,0.114,0,,,
LURAP1L-AS1,0,1.505396554,0.371,0.089,0,,,
MAN1A1,0,0.459413568,0.639,0.357,0,,,
TNRC6A,0,0.452305996,0.815,0.534,0,,,
ARHGAP18,0,-3.02471263,0.149,0.429,0,,,
CLIC5,0,-4.160214334,0.062,0.342,0,,,
PLXNA4,0,1.008561922,0.442,0.162,0,,,
AC007923.4,0,2.826571156,0.312,0.033,0,,,
FAM107B,0,0.977163962,0.456,0.177,0,,,
SGCG,0,2.543500903,0.311,0.032,0,,,
SUCLA2,0,1.363845257,0.385,0.106,0,,,
TNS2,0,0.887810607,0.429,0.15,0,,,
USP40,0,0.671146097,0.501,0.222,0,,,
RTN1,0,0.831396115,0.392,0.114,0,,,
SLC25A33,0,2.861678429,0.309,0.031,0,,,
CRLS1,0,0.81652433,0.534,0.257,0,,,
ITGB8,0,-4.246045263,0.042,0.319,0,,,
AC008957.2,0,3.567946723,0.295,0.018,0,,,
IGF1,0,1.83976813,0.413,0.136,0,,,
PBX1,0,0.385518386,0.898,0.622,0,,,
RSPO3,0,0.996113658,0.39,0.114,0,,,
GPATCH11,0,1.962057775,0.332,0.057,0,,,
